web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,release_date,budget,revenue,runtime,genres,spoken_languages,production_countries,vote_average,vote_count
https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Kurosawa, Kiyoshi, rank: 2, major: N}, {name: creative_works, value: Wife of a Spy (Movie), rank: 3, major: N}",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Critic’s Pick,,Marriage Amid Nationalism,,,,By Glenn Kenny,,Wife of a Spy,2020-10-16,0,0,114,"Drama, War, Thriller","English, Japanese",Japan,6.5,75
https://www.nytimes.com/2021/08/26/movies/together-review.html,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Together (Movie), rank: 2, major: N}, {name: persons, value: Daldry, Stephen, rank: 3, major: N}, {name: persons, value: McAvoy, James, rank: 4, major: N}, {name: persons, value: Horgan, Sharon (1970- ), rank: 5, major: N}",2021-08-26T11:00:06+0000,412,‘Together’ Review: Love and Loathing in London,,,Love and Loathing in a Blighted London,,,,By Jeannette Catsoulis,,Together,2021-08-27,0,214390,87,"Drama, Comedy",English,United Kingdom,5.925,73
https://www.nytimes.com/2021/08/05/movies/annette-review.html,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Carax, Leos, rank: 2, major: N}, {name: persons, value: Cotillard, Marion, rank: 3, major: N}, {name: persons, value: Driver, Adam, rank: 4, major: N}, {name: persons, value: Mael, Ron, rank: 5, major: N}, {name: persons, value: Mael, Russell, rank: 6, major: N}, {name: creative_works, value: Annette (Movie), rank: 7, major: N}, {name: organizations, value: Sparks (Music Group), rank: 8, major: N}",2021-08-05T11:00:07+0000,1069,‘Annette’ Review: Love Hurts,Critic’s Pick,,A Star Is Born. You Won’t Like Him.,,,,By A.O. Scott,,Annette,2021-07-07,15500000,3700000,140,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland",6.8,623
https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Milian, Christina, rank: 2, major: N}, {name: creative_works, value: Resort to Love (Movie), rank: 3, major: N}, {name: persons, value: Tsuchida, Steven, rank: 4, major: N}",2021-07-29T11:00:07+0000,310,‘Resort to Love’ Review: A Struggling Singer in Paradise,,,"Her Ex Returns, With His Bride-to-Be",,,,By Concepción de León,,Resort to Love,2021-07-29,0,0,101,"Romance, Comedy",English,United States of America,7.2,380
https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,Benoît Jacquot’s erotic costume drama envisions the Italian playboy as a weathered sad sack living in exile.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Jacquot, Benoit, rank: 2, major: N}, {name: creative_works, value: Casanova, Last Love (Movie), rank: 3, major: N}",2021-07-14T22:12:43+0000,312,"‘Casanova, Last Love’ Review: Reappraising a Philanderer",,,"Casanova, Last Love",,,,By Beatrice Loayza,,"Casanova, Last Love",2019-03-20,0,0,99,"Drama, Romance","English, French, German, Italian","Belgium, France, United States of America",4.9,33
https://www.nytimes.com/2021/07/08/movies/running-against-the-wind-review.html,Two childhood best friends reunite in this unfocused yet uplifting sports drama by the filmmaker Jan Philipp Weyl.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Running Against the Wind (Movie), rank: 2, major: N}, {name: persons, value: Weyl, Jan Philipp, rank: 3, major: N}",2021-07-08T11:00:05+0000,342,‘Running Against the Wind’ Review: Love and Friendship in Addis Ababa,,,Running Against the Wind,,,,By Beatrice Loayza,,Running Against the Wind,2023-07-20,0,0,112,Drama,Amharic,"Ethiopia, Germany",6.5,0
https://www.nytimes.com/2021/06/03/movies/undine-review.html,"Paula Beer and Franz Rogowski, who made an impression in 2019’s “Transit,” are reunited by the director Christian Petzold for this adaptation of a European myth.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Petzold, Christian, rank: 2, major: N}, {name: persons, value: Rogowski, Franz, rank: 3, major: N}, {name: creative_works, value: Undine (Movie), rank: 4, major: N}, {name: persons, value: Beer, Paula (1995- ), rank: 5, major: N}",2021-06-03T11:00:08+0000,535,‘Undine’ Review: Love In and Out of the Water,Critic’s Pick,,She’s Like a Sprite Out of Water,,,,By Glenn Kenny,,Undine,2020-07-01,0,0,90,"Fantasy, Drama, Romance","English, German, Spanish","France, Germany",6.5,194
https://www.nytimes.com/2021/05/20/movies/this-town-review.html,This small-town comedy from New Zealand looks at the romance between a country girl and a man accused of killing his family.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: This Town (Movie), rank: 2, major: N}, {name: persons, value: White, David (Director), rank: 3, major: N}",2021-05-20T20:19:17+0000,287,‘This Town’ Review: Love and Rifles,,,This Town,,,,By Devika Girish,,This Town,2020-04-30,0,0,91,Comedy,English,New Zealand,5.8,4
https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Papadimitropoulos, Argyris, rank: 2, major: N}, {name: persons, value: Stan, Sebastian, rank: 3, major: N}, {name: persons, value: Gough, Denise (1980- ), rank: 4, major: N}, {name: creative_works, value: Monday (Movie), rank: 5, major: N}",2021-04-15T11:00:08+0000,349,‘Monday’ Review: A Year of Love and Its Hangovers,,,Monday,,,,By Glenn Kenny,,Monday,2020-09-11,0,0,116,"Drama, Romance","English, Greek","Greece, United Kingdom, United States of America",6.688,152
https://www.nytimes.com/2021/04/15/movies/ride-or-die-review.html,"After upending her life, a woman runs away with her longtime crush in this puzzling Japanese drama.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Ride or Die (Movie), rank: 2, major: N}, {name: persons, value: Hiroki, Ryuichi, rank: 3, major: N}",2021-04-15T11:00:03+0000,338,‘Ride or Die’ Review: Killing for Love,,,This Is Somehow a Love That’s Worth Killing For,,,,By Natalia Winkelman,,Ride or Die,2021-04-15,0,0,142,"Drama, Romance, Thriller","English, Japanese",Japan,6.8,143
